Scanning 127.0.0.1 from port 1 to 65535...
Resolved IP: 127.0.0.1
Port 920: Closed
Port 921: Closed
Port 922: Closed
Port 923: Closed
Port 924: Closed
Port 925: Closed
Port 926: Closed
Port 927: Closed
Port 928: Closed
Port 929: Closed
Port 930: Closed
Port 931: Closed
Port 932: Closed
Port 933: Closed
Port 934: Closed
Port 935: Closed
Port 936: Closed
Port 937: Closed
Port 938: Closed
Port 939: Closed
Port 940: Closed
Port 941: Closed
Port 942: Closed
Port 943: Closed
Port 944: Closed
Port 945: Closed
Port 946: Closed
Port 947: Closed
Port 948: Closed
Port 949: Closed
Port 950: Closed
Port 951: Closed
Port 952: Closed
Port 953: Closed
Port 954: Closed
Port 955: Closed
Port 956: Closed
Port 957: Closed
Port 958: Closed
Port 959: Closed
Port 960: Closed
Port 961: Closed
Port 962: Closed
Port 963: Closed
Port 964: Closed
Port 965: Closed
Port 966: Closed
Port 967: Closed
Port 968: Closed
Port 969: Closed
Port 970: Closed
Port 971: Closed
Port 972: Closed
Port 973: Closed
Port 974: Closed
Port 975: Closed
Port 976: Closed
Port 977: Closed
Port 978: Closed
Port 979: Closed
Port 980: Closed
Port 981: Closed
Port 982: Closed
Port 983: Closed
Port 984: Closed
Port 985: Closed
Port 986: Closed
Port 987: Closed
Port 988: Closed
Port 989: Closed
Port 990: Closed
Port 991: Closed
Port 992: Closed
Port 993: Closed
Port 994: Closed
Port 995: Closed
Port 996: Closed
Port 997: Closed
Port 998: Closed
Port 999: Closed
Port 1000: Closed
Port 1001: Closed
Port 1002: Closed
Port 1003: Closed
Port 1004: Closed
Port 1005: Closed
Port 1006: Closed
Port 1007: Closed
Port 1008: Closed
Port 1009: Closed
Port 1010: Closed
Port 1011: Closed
Port 1012: Closed
Port 1013: Closed
Port 1014: Closed
Port 1015: Closed
Port 1016: Closed
Port 1017: Closed
Port 1018: Closed
Port 1019: Closed
Port 1020: Closed
Port 1021: Closed
Port 1022: Closed
Port 1023: Closed
Port 1024: Closed
Port 1025: Closed
Port 1026: Closed
Port 1027: Closed
Port 1028: Closed
Port 1029: Closed
Port 1030: Closed
Port 1031: Closed
Port 1032: Closed
Port 1033: Closed
Port 1034: Closed
Port 1035: Closed
Port 1036: Closed
Port 1037: Closed
Port 1038: Closed
Port 1039: Closed
Port 1040: Closed
Port 1041: Closed
Port 1042: Closed
Port 1043: Closed
Port 1044: Closed
Port 1045: Closed
Port 1046: Closed
Port 1047: Closed
Port 1048: Closed
Port 1049: Closed
Port 1050: Closed
Port 1051: Closed
Port 1052: Closed
Port 1053: Closed
Port 1054: Closed
Port 1055: Closed
Port 1056: Closed
Port 1057: Closed
Port 1058: Closed
Port 1059: Closed
Port 1060: Closed
Port 1061: Closed
Port 1062: Closed
Port 1063: Closed
Port 1064: Closed
Port 1065: Closed
Port 1066: Closed
Port 1067: Closed
Port 1068: Closed
Port 1069: Closed
Port 1070: Closed
Port 1071: Closed
Port 1072: Closed
Port 1073: Closed
Port 1074: Closed
Port 1075: Closed
Port 1076: Closed
Port 1077: Closed
Port 1078: Closed
Port 1079: Closed
Port 1080: Closed
Port 1081: Closed
Port 1082: Closed
Port 1083: Closed
Port 1084: Closed
Port 1085: Closed
Port 1086: Closed
Port 1087: Closed
Port 1088: Closed
Port 1089: Closed
Port 1090: Closed
Port 1091: Closed
Port 1092: Closed
Port 1093: Closed
Port 1094: Closed
Port 1095: Closed
Port 1096: Closed
Port 1097: Closed
Port 1098: Closed
Port 1099: Closed
Port 1100: Closed
Port 1101: Closed
Port 1102: Closed
Port 1103: Closed
Port 1104: Closed
Port 1105: Closed
Port 1106: Closed
Port 1107: Closed
Port 1108: Closed
Port 1109: Closed
Port 1110: Closed
Port 1111: Closed
Port 1112: Closed
Port 1113: Closed
Port 1114: Closed
Port 1115: Closed
Port 1116: Closed
Port 1117: Closed
Port 1118: Closed
Port 1119: Closed
Port 1120: Closed
Port 1121: Closed
Port 1122: Closed
Port 1123: Closed
Port 1124: Closed
Port 1125: Closed
Port 1126: Closed
Port 1127: Closed
Port 1128: Closed
Port 1129: Closed
Port 1130: Closed
Port 1131: Closed
Port 1132: Closed
Port 1133: Closed
Port 1134: Closed
Port 1135: Closed
Port 1136: Closed
Port 1137: Closed
Port 1138: Closed
Port 1139: Closed
Port 1140: Closed
Port 1141: Closed
Port 1142: Closed
Port 1143: Closed
Port 1144: Closed
Port 1145: Closed
Port 1146: Closed
Port 1147: Closed
Port 1148: Closed
Port 1149: Closed
Port 1150: Closed
Port 1151: Closed
Port 1152: Closed
Port 1153: Closed
Port 1154: Closed
Port 1155: Closed
Port 1156: Closed
Port 1157: Closed
Port 1158: Closed
Port 1159: Closed
Port 1160: Closed
Port 1161: Closed
Port 1162: Closed
Port 1163: Closed
Port 1164: Closed
Port 1165: Closed
Port 1166: Closed
Port 1167: Closed
Port 1168: Closed
Port 1169: Closed
Port 1170: Closed
Port 1171: Closed
Port 1172: Closed
Port 1173: Closed
Port 1174: Closed
Port 1175: Closed
Port 1176: Closed
Port 1177: Closed
Port 1178: Closed
Port 1179: Closed
Port 1180: Closed
Port 1181: Closed
Port 1182: Closed
Port 1183: Closed
Port 1184: Closed
Port 1185: Closed
Port 1186: Closed
Port 1187: Closed
Port 1188: Closed
Port 1189: Closed
Port 1190: Closed
Port 1191: Closed
Port 1192: Closed
Port 1193: Closed
Port 1194: Closed
Port 1195: Closed
Port 1196: Closed
Port 1197: Closed
Port 1198: Closed
Port 1199: Closed
Port 1200: Closed
Port 1201: Closed
Port 1202: Closed
Port 1203: Closed
Port 1204: Closed
Port 1205: Closed
Port 1206: Closed
Port 1207: Closed
Port 1208: Closed
Port 1209: Closed
Port 1210: Closed
